OptiLayer Layer Material Report, version: 15.12
15.01.2023 17:27:35
Root directory:    c:\users\public\documents\optilayer_2021-dez\
Problem directory: VPT_NBPF-656nm_LEE-2
**********************************************************

Units: L: nm, Sp: nm

Layer Material file: Ta2O5
Comment: Created by OptiChar  11.07.2007  10:17:28
         Material for all HELIOS Application ab July 2007

  n given by the dispersion table (linear interpolation)
  k given by the dispersion table (linear interpolation)
 Wavelength       n            k
  360.0000    2.329443    0.0000896000
  370.0000    2.310488    0.0000486000
  380.0000    2.293685    0.0000273000
  390.0000    2.278734    0.0000157000
  400.0000    2.265384    0.0000093400
  410.0000    2.253422    0.0000056900
  420.0000    2.242671    0.0000035400
  430.0000    2.232977    0.0000022600
  440.0000    2.224213    0.0000014700
  450.0000    2.216266    0.0000009740
  460.0000    2.209042    0.0000006570
  470.0000    2.202459    0.0000004510
  480.0000    2.196444    0.0000003140
  490.0000    2.190937    0.0000002220
  500.0000    2.185883    0.0000001600
  510.0000    2.181236    0.0000001160
  520.0000    2.176953    0.0000000853
  530.0000    2.172999    0.0000000635
  540.0000    2.169342    0.0000000478
  550.0000    2.165953    0.0000000363
  560.0000    2.162807    0.0000000279
  570.0000    2.159883    0.0000000216
  580.0000    2.157159    0.0000000169
  590.0000    2.154619    0.0000000133
  600.0000    2.152246    0.0000000106
  610.0000    2.150027    0.0000000085
  620.0000    2.147949    0.0000000068
  630.0000    2.145999    0.0000000056
  640.0000    2.144169    0.0000000045
  650.0000    2.142448    0.0000000037
  660.0000    2.140827    0.0000000031
  670.0000    2.139301    0.0000000026
  680.0000    2.137860    0.0000000021
  690.0000    2.136499    0.0000000018
  700.0000    2.135213    0.0000000015
  710.0000    2.133996    0.0000000013
  720.0000    2.132843    0.0000000011
  730.0000    2.131749    0.0000000009
  740.0000    2.130711    0.0000000008
  750.0000    2.129725    0.0000000007
  760.0000    2.128788    0.0000000006
  770.0000    2.127896    0.0000000005
  780.0000    2.127047    0.0000000005
  790.0000    2.126238    0.0000000004
  800.0000    2.125466    0.0000000004
  810.0000    2.124729    0.0000000003
  820.0000    2.124025    0.0000000003
  830.0000    2.123353    0.0000000002
  840.0000    2.122709    0.0000000002
  850.0000    2.122094    0.0000000002
  860.0000    2.121504    0.0000000002
  870.0000    2.120939    0.0000000002
  880.0000    2.120397    0.0000000001
  890.0000    2.119877    0.0000000001
  900.0000    2.119378    0.0000000001
  910.0000    2.118899    0.0000000001
  920.0000    2.118438    0.0000000001
  930.0000    2.117995    0.0000000001
  940.0000    2.117569    0.0000000001
  950.0000    2.117158    0.0000000001
  960.0000    2.116763    0.0000000001
  970.0000    2.116383    0.0000000001
  980.0000    2.116016    0.0000000001
  990.0000    2.115662    0.0000000001
 1000.0000    2.115320    0.0000000000
 1010.0000    2.114991    0.0000000000
 1020.0000    2.114673    0.0000000000
 1030.0000    2.114365    0.0000000000
 1040.0000    2.114068    0.0000000000
 1050.0000    2.113781    0.0000000000
 1060.0000    2.113503    0.0000000000
 1070.0000    2.113234    0.0000000000
 1080.0000    2.112974    0.0000000000
 1090.0000    2.112722    0.0000000000
 1100.0000    2.112478    0.0000000000
