OptiLayer Layer Material Report, version: 15.12
15.01.2023 17:28:02
Root directory:    c:\users\public\documents\optilayer_2021-dez\
Problem directory: VPT_NBPF-656nm_LEE-2
**********************************************************

Units: L: nm, Sp: nm

Layer Material file: SiO2
Comment: HElios basic material
         Created by OptiChar  12.02.2007  14:07:36

  n given by the dispersion table (linear interpolation)
  k given by the dispersion table (linear interpolation)
 Wavelength       n            k
  360.0000    1.498051    0.0000000000
  365.0000    1.497096    0.0000000000
  370.0000    1.496182    0.0000000000
  375.0000    1.495306    0.0000000000
  380.0000    1.494465    0.0000000000
  385.0000    1.493659    0.0000000000
  390.0000    1.492885    0.0000000000
  395.0000    1.492141    0.0000000000
  400.0000    1.491427    0.0000000000
  405.0000    1.490739    0.0000000000
  410.0000    1.490078    0.0000000000
  415.0000    1.489441    0.0000000000
  420.0000    1.488828    0.0000000000
  425.0000    1.488237    0.0000000000
  430.0000    1.487667    0.0000000000
  435.0000    1.487117    0.0000000000
  440.0000    1.486587    0.0000000000
  445.0000    1.486075    0.0000000000
  450.0000    1.485581    0.0000000000
  455.0000    1.485103    0.0000000000
  460.0000    1.484642    0.0000000000
  465.0000    1.484195    0.0000000000
  470.0000    1.483763    0.0000000000
  475.0000    1.483346    0.0000000000
  480.0000    1.482941    0.0000000000
  485.0000    1.482550    0.0000000000
  490.0000    1.482170    0.0000000000
  495.0000    1.481803    0.0000000000
  500.0000    1.481446    0.0000000000
  505.0000    1.481101    0.0000000000
  510.0000    1.480766    0.0000000000
  515.0000    1.480440    0.0000000000
  520.0000    1.480125    0.0000000000
  525.0000    1.479818    0.0000000000
  530.0000    1.479521    0.0000000000
  535.0000    1.479232    0.0000000000
  540.0000    1.478951    0.0000000000
  545.0000    1.478678    0.0000000000
  550.0000    1.478412    0.0000000000
  555.0000    1.478154    0.0000000000
  560.0000    1.477903    0.0000000000
  565.0000    1.477659    0.0000000000
  570.0000    1.477421    0.0000000000
  575.0000    1.477190    0.0000000000
  580.0000    1.476964    0.0000000000
  585.0000    1.476745    0.0000000000
  590.0000    1.476531    0.0000000000
  595.0000    1.476322    0.0000000000
  600.0000    1.476119    0.0000000000
  605.0000    1.475921    0.0000000000
  610.0000    1.475728    0.0000000000
  615.0000    1.475540    0.0000000000
  620.0000    1.475356    0.0000000000
  625.0000    1.475177    0.0000000000
  630.0000    1.475002    0.0000000000
  635.0000    1.474831    0.0000000000
  640.0000    1.474665    0.0000000000
  645.0000    1.474502    0.0000000000
  650.0000    1.474343    0.0000000000
  655.0000    1.474188    0.0000000000
  660.0000    1.474036    0.0000000000
  665.0000    1.473888    0.0000000000
  670.0000    1.473743    0.0000000000
  675.0000    1.473602    0.0000000000
  680.0000    1.473463    0.0000000000
  685.0000    1.473328    0.0000000000
  690.0000    1.473195    0.0000000000
  695.0000    1.473066    0.0000000000
  700.0000    1.472939    0.0000000000
  705.0000    1.472815    0.0000000000
  710.0000    1.472694    0.0000000000
  715.0000    1.472575    0.0000000000
  720.0000    1.472459    0.0000000000
  725.0000    1.472345    0.0000000000
  730.0000    1.472234    0.0000000000
  735.0000    1.472124    0.0000000000
  740.0000    1.472017    0.0000000000
  745.0000    1.471913    0.0000000000
  750.0000    1.471810    0.0000000000
  755.0000    1.471709    0.0000000000
  760.0000    1.471611    0.0000000000
  765.0000    1.471514    0.0000000000
  770.0000    1.471419    0.0000000000
  775.0000    1.471327    0.0000000000
  780.0000    1.471235    0.0000000000
  785.0000    1.471146    0.0000000000
  790.0000    1.471058    0.0000000000
  795.0000    1.470972    0.0000000000
  800.0000    1.470888    0.0000000000
  805.0000    1.470805    0.0000000000
  810.0000    1.470724    0.0000000000
  815.0000    1.470644    0.0000000000
  820.0000    1.470566    0.0000000000
  825.0000    1.470489    0.0000000000
  830.0000    1.470414    0.0000000000
  835.0000    1.470340    0.0000000000
  840.0000    1.470267    0.0000000000
  845.0000    1.470196    0.0000000000
  850.0000    1.470126    0.0000000000
  855.0000    1.470057    0.0000000000
  860.0000    1.469989    0.0000000000
  865.0000    1.469923    0.0000000000
  870.0000    1.469857    0.0000000000
  875.0000    1.469793    0.0000000000
  880.0000    1.469730    0.0000000000
  885.0000    1.469668    0.0000000000
  890.0000    1.469607    0.0000000000
  895.0000    1.469547    0.0000000000
  900.0000    1.469488    0.0000000000
  905.0000    1.469430    0.0000000000
  910.0000    1.469373    0.0000000000
  915.0000    1.469317    0.0000000000
  920.0000    1.469262    0.0000000000
  925.0000    1.469207    0.0000000000
  930.0000    1.469154    0.0000000000
  935.0000    1.469101    0.0000000000
  940.0000    1.469050    0.0000000000
  945.0000    1.468999    0.0000000000
  950.0000    1.468949    0.0000000000
  955.0000    1.468900    0.0000000000
  960.0000    1.468851    0.0000000000
  965.0000    1.468803    0.0000000000
  970.0000    1.468756    0.0000000000
  975.0000    1.468710    0.0000000000
  980.0000    1.468665    0.0000000000
  985.0000    1.468620    0.0000000000
  990.0000    1.468576    0.0000000000
