OptiLayer Substrate/Incident/Exit Medium Report, version: 15.12
15.01.2023 17:25:26
Root directory:    c:\users\public\documents\optilayer_2021-dez\
Problem directory: VPT_NBPF-656nm_LEE-2
**********************************************************

Units: L: nm, Sp: nm

Substrate/Incident/Exit Medium file: B 270 actual
Comment: valid range: 300 nm to 2500 nm

  n given by the dispersion table (linear interpolation)
  k given by the dispersion table (linear interpolation)
 Wavelength       n            k
  350.0000    1.548389    0.0000000000
  351.0000    1.548151    0.0000000000
  352.0000    1.547914    0.0000000000
  353.0000    1.547681    0.0000000000
  354.0000    1.547449    0.0000000000
  355.0000    1.547220    0.0000000000
  356.0000    1.546993    0.0000000000
  357.0000    1.546768    0.0000000000
  358.0000    1.546546    0.0000000000
  359.0000    1.546325    0.0000000000
  360.0000    1.546107    0.0000000000
  361.0000    1.545891    0.0000000000
  362.0000    1.545676    0.0000000000
  363.0000    1.545464    0.0000000000
  364.0000    1.545254    0.0000000000
  365.0000    1.545046    0.0000000000
  366.0000    1.544840    0.0000000000
  367.0000    1.544635    0.0000000000
  368.0000    1.544433    0.0000000000
  369.0000    1.544232    0.0000000000
  370.0000    1.544034    0.0000000000
  371.0000    1.543837    0.0000000000
  372.0000    1.543642    0.0000000000
  373.0000    1.543449    0.0000000000
  374.0000    1.543257    0.0000000000
  375.0000    1.543067    0.0000000000
  376.0000    1.542879    0.0000000000
  377.0000    1.542693    0.0000000000
  378.0000    1.542508    0.0000000000
  379.0000    1.542325    0.0000000000
  380.0000    1.542144    0.0000000000
  381.0000    1.541964    0.0000000000
  382.0000    1.541786    0.0000000000
  383.0000    1.541609    0.0000000000
  384.0000    1.541434    0.0000000000
  385.0000    1.541260    0.0000000000
  386.0000    1.541088    0.0000000000
  387.0000    1.540917    0.0000000000
  388.0000    1.540748    0.0000000000
  389.0000    1.540581    0.0000000000
  390.0000    1.540414    0.0000000000
  391.0000    1.540250    0.0000000000
  392.0000    1.540086    0.0000000000
  393.0000    1.539924    0.0000000000
  394.0000    1.539764    0.0000000000
  395.0000    1.539604    0.0000000000
  396.0000    1.539446    0.0000000000
  397.0000    1.539290    0.0000000000
  398.0000    1.539134    0.0000000000
  399.0000    1.538980    0.0000000000
  400.0000    1.538828    0.0000000000
  401.0000    1.538676    0.0000000000
  402.0000    1.538526    0.0000000000
  403.0000    1.538377    0.0000000000
  404.0000    1.538229    0.0000000000
  405.0000    1.538083    0.0000000000
  406.0000    1.537937    0.0000000000
  407.0000    1.537793    0.0000000000
  408.0000    1.537650    0.0000000000
  409.0000    1.537508    0.0000000000
  410.0000    1.537367    0.0000000000
  411.0000    1.537228    0.0000000000
  412.0000    1.537089    0.0000000000
  413.0000    1.536952    0.0000000000
  414.0000    1.536815    0.0000000000
  415.0000    1.536680    0.0000000000
  416.0000    1.536546    0.0000000000
  417.0000    1.536413    0.0000000000
  418.0000    1.536281    0.0000000000
  419.0000    1.536150    0.0000000000
  420.0000    1.536020    0.0000000000
  421.0000    1.535891    0.0000000000
  422.0000    1.535763    0.0000000000
  423.0000    1.535635    0.0000000000
  424.0000    1.535509    0.0000000000
